Index,Body_Part,Occupational_Group,Impairment_Code,Variant
55,HYPERTENSION,220,04.01.00.00,G
56,HYPERTENSION,221,04.01.00.00,E
57,HYPERTENSION,230,04.01.00.00,E
58,HYPERTENSION,240,04.01.00.00,F
59,HYPERTENSION,250,04.01.00.00,G
60,HYPERTENSION,251,04.01.00.00,G
61,HYPERTENSION,290,04.01.00.00,F
62,HYPERTENSION,310,04.01.00.00,G
63,HYPERTENSION,311,04.01.00.00,H
64,HYPERTENSION,320,04.01.00.00,F
65,HYPERTENSION,321,04.01.00.00,F
66,HYPERTENSION,322,04.01.00.00,F
67,HYPERTENSION,330,04.01.00.00,F
68,HYPERTENSION,331,04.01.00.00,F
69,HYPERTENSION,332,04.01.00.00,F
70,HYPERTENSION,340,04.01.00.00,G
71,HYPERTENSION,341,04.01.00.00,G
72,HYPERTENSION,350,04.01.00.00,H
73,HYPERTENSION,351,04.01.00.00,G
74,HYPERTENSION,360,04.01.00.00,G
75,HYPERTENSION,370,04.01.00.00,G
76,HYPERTENSION,380,04.01.00.00,H
77,HYPERTENSION,390,04.01.00.00,H
78,HYPERTENSION,420,04.01.00.00,H
79,HYPERTENSION,430,04.01.00.00,H
80,HYPERTENSION,460,04.01.00.00,H
81,HYPERTENSION,470,04.01.00.00,H
82,HYPERTENSION,480,04.01.00.00,H
83,HYPERTENSION,481,04.01.00.00,H
84,HYPERTENSION,482,04.01.00.00,I
85,HYPERTENSION,490,04.01.00.00,I
86,HYPERTENSION,491,04.01.00.00,H
87,HYPERTENSION,492,04.01.00.00,H
88,HYPERTENSION,493,04.01.00.00,I
89,HYPERTENSION,560,04.01.00.00,H
90,HYPERTENSION,590,04.01.00.00,J
91,AORTIC DISEASE,110,04.02.00.00,G
92,AORTIC DISEASE,111,04.02.00.00,F
93,AORTIC DISEASE,112,04.02.00.00,E
94,AORTIC DISEASE,120,04.02.00.00,E
95,AORTIC DISEASE,210,04.02.00.00,F
96,AORTIC DISEASE,211,04.02.00.00,F
97,AORTIC DISEASE,212,04.02.00.00,G
98,AORTIC DISEASE,213,04.02.00.00,G
99,AORTIC DISEASE,214,04.02.00.00,G
100,AORTIC DISEASE,220,04.02.00.00,G
101,AORTIC DISEASE,221,04.02.00.00,E
102,AORTIC DISEASE,230,04.02.00.00,E
103,AORTIC DISEASE,240,04.02.00.00,F
104,AORTIC DISEASE,250,04.02.00.00,G
105,AORTIC DISEASE,251,04.02.00.00,G
106,AORTIC DISEASE,290,04.02.00.00,F
107,AORTIC DISEASE,310,04.02.00.00,G
108,AORTIC DISEASE,311,04.02.00.00,H
109,AORTIC DISEASE,320,04.02.00.00,F
110,AORTIC DISEASE,321,04.02.00.00,F
111,AORTIC DISEASE,322,04.02.00.00,F
112,AORTIC DISEASE,330,04.02.00.00,F
113,AORTIC DISEASE,331,04.02.00.00,F
114,AORTIC DISEASE,332,04.02.00.00,F
115,AORTIC DISEASE,340,04.02.00.00,G
116,AORTIC DISEASE,341,04.02.00.00,G
117,AORTIC DISEASE,350,04.02.00.00,H
118,AORTIC DISEASE,351,04.02.00.00,G
119,AORTIC DISEASE,360,04.02.00.00,G
120,AORTIC DISEASE,370,04.02.00.00,G
121,AORTIC DISEASE,380,04.02.00.00,H
122,AORTIC DISEASE,390,04.02.00.00,H
123,AORTIC DISEASE,420,04.02.00.00,H
124,AORTIC DISEASE,430,04.02.00.00,H
125,AORTIC DISEASE,460,04.02.00.00,H
126,AORTIC DISEASE,470,04.02.00.00,H
127,AORTIC DISEASE,480,04.02.00.00,H
128,AORTIC DISEASE,481,04.02.00.00,H
129,AORTIC DISEASE,482,04.02.00.00,I
130,AORTIC DISEASE,490,04.02.00.00,I
131,AORTIC DISEASE,491,04.02.00.00,H
132,AORTIC DISEASE,492,04.02.00.00,H
133,AORTIC DISEASE,493,04.02.00.00,I
134,AORTIC DISEASE,560,04.02.00.00,H
135,AORTIC DISEASE,590,04.02.00.00,J
136,PERIPH - UE,110,04.03.01.00,E
137,PERIPH - UE,111,04.03.01.00,G
138,PERIPH - UE,112,04.03.01.00,H
139,PERIPH - UE,120,04.03.01.00,H
140,PERIPH - UE,210,04.03.01.00,E
141,PERIPH - UE,211,04.03.01.00,G
142,PERIPH - UE,212,04.03.01.00,F
143,PERIPH - UE,213,04.03.01.00,E
144,PERIPH - UE,214,04.03.01.00,G
145,PERIPH - UE,220,04.03.01.00,H
146,PERIPH - UE,221,04.03.01.00,G
147,PERIPH - UE,230,04.03.01.00,G
148,PERIPH - UE,240,04.03.01.00,E
149,PERIPH - UE,250,04.03.01.00,F
150,PERIPH - UE,251,04.03.01.00,F
151,PERIPH - UE,290,04.03.01.00,G
152,PERIPH - UE,310,04.03.01.00,F
153,PERIPH - UE,311,04.03.01.00,G
154,PERIPH - UE,320,04.03.01.00,H
155,PERIPH - UE,321,04.03.01.00,G
156,PERIPH - UE,322,04.03.01.00,G
157,PERIPH - UE,330,04.03.01.00,G
158,PERIPH - UE,331,04.03.01.00,F
159,PERIPH - UE,332,04.03.01.00,F
160,PERIPH - UE,340,04.03.01.00,F
161,PERIPH - UE,341,04.03.01.00,F
162,PERIPH - UE,350,04.03.01.00,G
163,PERIPH - UE,351,04.03.01.00,G
164,PERIPH - UE,360,04.03.01.00,G
165,PERIPH - UE,370,04.03.01.00,H
166,PERIPH - UE,380,04.03.01.00,H
167,PERIPH - UE,390,04.03.01.00,G
168,PERIPH - UE,420,04.03.01.00,H
169,PERIPH - UE,430,04.03.01.00,H
170,PERIPH - UE,460,04.03.01.00,G
171,PERIPH - UE,470,04.03.01.00,H
172,PERIPH - UE,480,04.03.01.00,G
173,PERIPH - UE,481,04.03.01.00,H
174,PERIPH - UE,482,04.03.01.00,J
175,PERIPH - UE,490,04.03.01.00,I
176,PERIPH - UE,491,04.03.01.00,G
177,PERIPH - UE,492,04.03.01.00,H
178,PERIPH - UE,493,04.03.01.00,I
179,PERIPH - UE,560,04.03.01.00,H
180,PERIPH - UE,590,04.03.01.00,J
181,PERIPH - LE,110,04.03.02.00,D
182,PERIPH - LE,111,04.03.02.00,D
183,PERIPH - LE,112,04.03.02.00,D
184,PERIPH - LE,120,04.03.02.00,D
185,PERIPH - LE,210,04.03.02.00,E
186,PERIPH - LE,211,04.03.02.00,E
187,PERIPH - LE,212,04.03.02.00,E
188,PERIPH - LE,213,04.03.02.00,F
189,PERIPH - LE,214,04.03.02.00,F
190,PERIPH - LE,220,04.03.02.00,E
191,PERIPH - LE,221,04.03.02.00,E
192,PERIPH - LE,230,04.03.02.00,E
193,PERIPH - LE,240,04.03.02.00,E
194,PERIPH - LE,250,04.03.02.00,F
195,PERIPH - LE,251,04.03.02.00,E
196,PERIPH - LE,290,04.03.02.00,E
197,PERIPH - LE,310,04.03.02.00,F
198,PERIPH - LE,311,04.03.02.00,F
199,PERIPH - LE,320,04.03.02.00,F
200,PERIPH - LE,321,04.03.02.00,F
201,PERIPH - LE,322,04.03.02.00,F
202,PERIPH - LE,330,04.03.02.00,F
203,PERIPH - LE,331,04.03.02.00,F
204,PERIPH - LE,332,04.03.02.00,F
205,PERIPH - LE,340,04.03.02.00,G
206,PERIPH - LE,341,04.03.02.00,G
207,PERIPH - LE,350,04.03.02.00,G
208,PERIPH - LE,351,04.03.02.00,G
209,PERIPH - LE,360,04.03.02.00,G
210,PERIPH - LE,370,04.03.02.00,G
211,PERIPH - LE,380,04.03.02.00,I
212,PERIPH - LE,390,04.03.02.00,H
213,PERIPH - LE,420,04.03.02.00,G
214,PERIPH - LE,430,04.03.02.00,H
215,PERIPH - LE,460,04.03.02.00,H
216,PERIPH - LE,470,04.03.02.00,H
217,PERIPH - LE,480,04.03.02.00,H
218,PERIPH - LE,481,04.03.02.00,I
219,PERIPH - LE,482,04.03.02.00,J
220,PERIPH - LE,490,04.03.02.00,I
221,PERIPH - LE,491,04.03.02.00,H
222,PERIPH - LE,492,04.03.02.00,I
223,PERIPH - LE,493,04.03.02.00,I
224,PERIPH - LE,560,04.03.02.00,I
225,PERIPH - LE,590,04.03.02.00,J
226,PULM CIRC,110,04.04.00.00,F
227,PULM CIRC,111,04.04.00.00,E
228,PULM CIRC,112,04.04.00.00,D
229,PULM CIRC,120,04.04.00.00,D
230,PULM CIRC,210,04.04.00.00,H
231,PULM CIRC,211,04.04.00.00,E
232,PULM CIRC,212,04.04.00.00,F
233,PULM CIRC,213,04.04.00.00,F
234,PULM CIRC,214,04.04.00.00,F
235,PULM CIRC,220,04.04.00.00,E
236,PULM CIRC,221,04.04.00.00,E
237,PULM CIRC,230,04.04.00.00,E
238,PULM CIRC,240,04.04.00.00,E
239,PULM CIRC,250,04.04.00.00,F
240,PULM CIRC,251,04.04.00.00,F
241,PULM CIRC,290,04.04.00.00,F
242,PULM CIRC,310,04.04.00.00,F
243,PULM CIRC,311,04.04.00.00,G
244,PULM CIRC,320,04.04.00.00,F
245,PULM CIRC,321,04.04.00.00,F
246,PULM CIRC,322,04.04.00.00,F
247,PULM CIRC,330,04.04.00.00,F
248,PULM CIRC,331,04.04.00.00,F
249,PULM CIRC,332,04.04.00.00,F
250,PULM CIRC,340,04.04.00.00,G
251,PULM CIRC,341,04.04.00.00,G
252,PULM CIRC,350,04.04.00.00,G
253,PULM CIRC,351,04.04.00.00,G
254,PULM CIRC,360,04.04.00.00,G
255,PULM CIRC,370,04.04.00.00,G
256,PULM CIRC,380,04.04.00.00,H
257,PULM CIRC,390,04.04.00.00,H
258,PULM CIRC,420,04.04.00.00,G
259,PULM CIRC,430,04.04.00.00,H
260,PULM CIRC,460,04.04.00.00,G
261,PULM CIRC,470,04.04.00.00,H
262,PULM CIRC,480,04.04.00.00,H
263,PULM CIRC,481,04.04.00.00,H
264,PULM CIRC,482,04.04.00.00,I
265,PULM CIRC,490,04.04.00.00,I
266,PULM CIRC,491,04.04.00.00,G
267,PULM CIRC,492,04.04.00.00,H
268,PULM CIRC,493,04.04.00.00,I
269,PULM CIRC,560,04.04.00.00,H
270,PULM CIRC,590,04.04.00.00,J
271,RESPIRATORY,110,05.01--05.03,F
272,RESPIRATORY,111,05.01--05.03,E
273,RESPIRATORY,112,05.01--05.03,D
274,RESPIRATORY,120,05.01--05.03,D
275,RESPIRATORY,210,05.01--05.03,H
276,RESPIRATORY,211,05.01--05.03,E
277,RESPIRATORY,212,05.01--05.03,F
278,RESPIRATORY,213,05.01--05.03,F
279,RESPIRATORY,214,05.01--05.03,F
280,RESPIRATORY,220,05.01--05.03,E
281,RESPIRATORY,221,05.01--05.03,E
282,RESPIRATORY,230,05.01--05.03,E
283,RESPIRATORY,240,05.01--05.03,E
284,RESPIRATORY,250,05.01--05.03,F
285,RESPIRATORY,251,05.01--05.03,F
286,RESPIRATORY,290,05.01--05.03,F
287,RESPIRATORY,310,05.01--05.03,F
288,RESPIRATORY,311,05.01--05.03,G
289,RESPIRATORY,320,05.01--05.03,F
290,RESPIRATORY,321,05.01--05.03,F
291,RESPIRATORY,322,05.01--05.03,F
292,RESPIRATORY,330,05.01--05.03,F
293,RESPIRATORY,331,05.01--05.03,F
294,RESPIRATORY,332,05.01--05.03,F
295,RESPIRATORY,340,05.01--05.03,G
296,RESPIRATORY,341,05.01--05.03,G
297,RESPIRATORY,350,05.01--05.03,G
298,RESPIRATORY,351,05.01--05.03,G
299,RESPIRATORY,360,05.01--05.03,G
300,RESPIRATORY,370,05.01--05.03,G
301,RESPIRATORY,380,05.01--05.03,H
302,RESPIRATORY,390,05.01--05.03,H
303,RESPIRATORY,420,05.01--05.03,G
304,RESPIRATORY,430,05.01--05.03,H
305,RESPIRATORY,460,05.01--05.03,G
306,RESPIRATORY,470,05.01--05.03,H
307,RESPIRATORY,480,05.01--05.03,H
308,RESPIRATORY,481,05.01--05.03,H
309,RESPIRATORY,482,05.01--05.03,I
310,RESPIRATORY,490,05.01--05.03,I
311,RESPIRATORY,491,05.01--05.03,G
312,RESPIRATORY,492,05.01--05.03,H
313,RESPIRATORY,493,05.01--05.03,I
314,RESPIRATORY,560,05.01--05.03,H
315,RESPIRATORY,590,05.01--05.03,J
316,UPPER DIGEST,110,06.01.00.00,F
317,UPPER DIGEST,111,06.01.00.00,F
318,UPPER DIGEST,112,06.01.00.00,F
319,UPPER DIGEST,120,06.01.00.00,F
320,UPPER DIGEST,210,06.01.00.00,F
321,UPPER DIGEST,211,06.01.00.00,F
322,UPPER DIGEST,212,06.01.00.00,F
323,UPPER DIGEST,213,06.01.00.00,F
324,UPPER DIGEST,214,06.01.00.00,F
325,UPPER DIGEST,220,06.01.00.00,F
326,UPPER DIGEST,221,06.01.00.00,F
327,UPPER DIGEST,230,06.01.00.00,F
328,UPPER DIGEST,240,06.01.00.00,F
329,UPPER DIGEST,250,06.01.00.00,F
330,UPPER DIGEST,251,06.01.00.00,F
331,UPPER DIGEST,290,06.01.00.00,F
332,UPPER DIGEST,310,06.01.00.00,F
333,UPPER DIGEST,311,06.01.00.00,F
334,UPPER DIGEST,320,06.01.00.00,F
335,UPPER DIGEST,321,06.01.00.00,F
336,UPPER DIGEST,322,06.01.00.00,F
337,UPPER DIGEST,330,06.01.00.00,F
338,UPPER DIGEST,331,06.01.00.00,F
339,UPPER DIGEST,332,06.01.00.00,F
340,UPPER DIGEST,340,06.01.00.00,F
341,UPPER DIGEST,341,06.01.00.00,F
342,UPPER DIGEST,350,06.01.00.00,F
343,UPPER DIGEST,351,06.01.00.00,F
344,UPPER DIGEST,360,06.01.00.00,F
345,UPPER DIGEST,370,06.01.00.00,F
346,UPPER DIGEST,380,06.01.00.00,F
347,UPPER DIGEST,390,06.01.00.00,F
348,UPPER DIGEST,420,06.01.00.00,F
349,UPPER DIGEST,430,06.01.00.00,F
350,UPPER DIGEST,460,06.01.00.00,F
351,UPPER DIGEST,470,06.01.00.00,F
352,UPPER DIGEST,480,06.01.00.00,F
353,UPPER DIGEST,481,06.01.00.00,F
354,UPPER DIGEST,482,06.01.00.00,F
355,UPPER DIGEST,490,06.01.00.00,F
356,UPPER DIGEST,491,06.01.00.00,F
357,UPPER DIGEST,492,06.01.00.00,F
358,UPPER DIGEST,493,06.01.00.00,F
359,UPPER DIGEST,560,06.01.00.00,F
360,UPPER DIGEST,590,06.01.00.00,F
361,"COLON, RECTUM",110,06.02.00.00,F
362,"COLON, RECTUM",111,06.02.00.00,F
363,"COLON, RECTUM",112,06.02.00.00,F
364,"COLON, RECTUM",120,06.02.00.00,F
365,"COLON, RECTUM",210,06.02.00.00,F
366,"COLON, RECTUM",211,06.02.00.00,F
367,"COLON, RECTUM",212,06.02.00.00,F
368,"COLON, RECTUM",213,06.02.00.00,H
369,"COLON, RECTUM",214,06.02.00.00,F
370,"COLON, RECTUM",220,06.02.00.00,F
371,"COLON, RECTUM",221,06.02.00.00,F
372,"COLON, RECTUM",230,06.02.00.00,F
373,"COLON, RECTUM",240,06.02.00.00,G
374,"COLON, RECTUM",250,06.02.00.00,G
375,"COLON, RECTUM",251,06.02.00.00,G
376,"COLON, RECTUM",290,06.02.00.00,F
377,"COLON, RECTUM",310,06.02.00.00,F
378,"COLON, RECTUM",311,06.02.00.00,F
379,"COLON, RECTUM",320,06.02.00.00,F
380,"COLON, RECTUM",321,06.02.00.00,F
381,"COLON, RECTUM",322,06.02.00.00,F
382,"COLON, RECTUM",330,06.02.00.00,F
383,"COLON, RECTUM",331,06.02.00.00,F
384,"COLON, RECTUM",332,06.02.00.00,F
385,"COLON, RECTUM",340,06.02.00.00,F
386,"COLON, RECTUM",341,06.02.00.00,H
387,"COLON, RECTUM",350,06.02.00.00,G
388,"COLON, RECTUM",351,06.02.00.00,G
389,"COLON, RECTUM",360,06.02.00.00,F
390,"COLON, RECTUM",370,06.02.00.00,F
391,"COLON, RECTUM",380,06.02.00.00,H
392,"COLON, RECTUM",390,06.02.00.00,G
393,"COLON, RECTUM",420,06.02.00.00,F
394,"COLON, RECTUM",430,06.02.00.00,F
395,"COLON, RECTUM",460,06.02.00.00,F
396,"COLON, RECTUM",470,06.02.00.00,F
397,"COLON, RECTUM",480,06.02.00.00,H
398,"COLON, RECTUM",481,06.02.00.00,H
399,"COLON, RECTUM",482,06.02.00.00,H
400,"COLON, RECTUM",490,06.02.00.00,H
401,"COLON, RECTUM",491,06.02.00.00,H
402,"COLON, RECTUM",492,06.02.00.00,H
403,"COLON, RECTUM",493,06.02.00.00,H
404,"COLON, RECTUM",560,06.02.00.00,G
405,"COLON, RECTUM",590,06.02.00.00,H
406,FISTULAS,110,06.03.00.00,F
407,FISTULAS,111,06.03.00.00,F
408,FISTULAS,112,06.03.00.00,F
409,FISTULAS,120,06.03.00.00,F
410,FISTULAS,210,06.03.00.00,F
411,FISTULAS,211,06.03.00.00,F
412,FISTULAS,212,06.03.00.00,F
413,FISTULAS,213,06.03.00.00,F
414,FISTULAS,214,06.03.00.00,F
415,FISTULAS,220,06.03.00.00,F
416,FISTULAS,221,06.03.00.00,F
417,FISTULAS,230,06.03.00.00,F
418,FISTULAS,240,06.03.00.00,F
419,FISTULAS,250,06.03.00.00,F
420,FISTULAS,251,06.03.00.00,F
421,FISTULAS,290,06.03.00.00,F
422,FISTULAS,310,06.03.00.00,F
423,FISTULAS,311,06.03.00.00,F
424,FISTULAS,320,06.03.00.00,F
425,FISTULAS,321,06.03.00.00,F
426,FISTULAS,322,06.03.00.00,F
427,FISTULAS,330,06.03.00.00,F
428,FISTULAS,331,06.03.00.00,F
429,FISTULAS,332,06.03.00.00,F
430,FISTULAS,340,06.03.00.00,F
431,FISTULAS,341,06.03.00.00,F
432,FISTULAS,350,06.03.00.00,F
433,FISTULAS,351,06.03.00.00,F
434,FISTULAS,360,06.03.00.00,F
435,FISTULAS,370,06.03.00.00,F
436,FISTULAS,380,06.03.00.00,F
437,FISTULAS,390,06.03.00.00,F
438,FISTULAS,420,06.03.00.00,F
439,FISTULAS,430,06.03.00.00,F
440,FISTULAS,460,06.03.00.00,F
441,FISTULAS,470,06.03.00.00,F
442,FISTULAS,480,06.03.00.00,F
443,FISTULAS,481,06.03.00.00,F
444,FISTULAS,482,06.03.00.00,F
445,FISTULAS,490,06.03.00.00,F
446,FISTULAS,491,06.03.00.00,F
447,FISTULAS,492,06.03.00.00,F
448,FISTULAS,493,06.03.00.00,F
449,FISTULAS,560,06.03.00.00,F
450,FISTULAS,590,06.03.00.00,F
451,LIVER,110,06.04.00.00,F
452,LIVER,111,06.04.00.00,F
453,LIVER,112,06.04.00.00,F
454,LIVER,120,06.04.00.00,F
455,LIVER,210,06.04.00.00,F
456,LIVER,211,06.04.00.00,F
457,LIVER,212,06.04.00.00,F
458,LIVER,213,06.04.00.00,F
459,LIVER,214,06.04.00.00,F
460,LIVER,220,06.04.00.00,F
461,LIVER,221,06.04.00.00,F
462,LIVER,230,06.04.00.00,F
463,LIVER,240,06.04.00.00,F
464,LIVER,250,06.04.00.00,F
465,LIVER,251,06.04.00.00,F
466,LIVER,290,06.04.00.00,F
467,LIVER,310,06.04.00.00,F
468,LIVER,311,06.04.00.00,F
469,LIVER,320,06.04.00.00,F
470,LIVER,321,06.04.00.00,F
471,LIVER,322,06.04.00.00,F
472,LIVER,330,06.04.00.00,F
473,LIVER,331,06.04.00.00,F
474,LIVER,332,06.04.00.00,F
475,LIVER,340,06.04.00.00,F
476,LIVER,341,06.04.00.00,F
477,LIVER,350,06.04.00.00,F
478,LIVER,351,06.04.00.00,F
479,LIVER,360,06.04.00.00,F
480,LIVER,370,06.04.00.00,F
481,LIVER,380,06.04.00.00,F
482,LIVER,390,06.04.00.00,F
483,LIVER,420,06.04.00.00,F
484,LIVER,430,06.04.00.00,F
485,LIVER,460,06.04.00.00,F
486,LIVER,470,06.04.00.00,F
487,LIVER,480,06.04.00.00,F
488,LIVER,481,06.04.00.00,F
489,LIVER,482,06.04.00.00,F
490,LIVER,490,06.04.00.00,F
491,LIVER,491,06.04.00.00,F
492,LIVER,492,06.04.00.00,F
493,LIVER,493,06.04.00.00,F
494,LIVER,560,06.04.00.00,F
495,LIVER,590,06.04.00.00,F
496,HERNIA,110,06.05.00.00,C
497,HERNIA,111,06.05.00.00,C
498,HERNIA,112,06.05.00.00,C
499,HERNIA,120,06.05.00.00,C
500,HERNIA,210,06.05.00.00,C
501,HERNIA,211,06.05.00.00,D
502,HERNIA,212,06.05.00.00,E
503,HERNIA,213,06.05.00.00,F
504,HERNIA,214,06.05.00.00,F
505,HERNIA,220,06.05.00.00,D
506,HERNIA,221,06.05.00.00,D
507,HERNIA,230,06.05.00.00,E
508,HERNIA,240,06.05.00.00,E
509,HERNIA,250,06.05.00.00,F
510,HERNIA,251,06.05.00.00,E
511,HERNIA,290,06.05.00.00,D
512,HERNIA,310,06.05.00.00,F
513,HERNIA,311,06.05.00.00,G
514,HERNIA,320,06.05.00.00,F
515,HERNIA,321,06.05.00.00,F
516,HERNIA,322,06.05.00.00,F
517,HERNIA,330,06.05.00.00,F
518,HERNIA,331,06.05.00.00,F
519,HERNIA,332,06.05.00.00,F
520,HERNIA,340,06.05.00.00,G
521,HERNIA,341,06.05.00.00,G
522,HERNIA,350,06.05.00.00,G
523,HERNIA,351,06.05.00.00,F
524,HERNIA,360,06.05.00.00,G
525,HERNIA,370,06.05.00.00,G
526,HERNIA,380,06.05.00.00,H
527,HERNIA,390,06.05.00.00,G
528,HERNIA,420,06.05.00.00,H
529,HERNIA,430,06.05.00.00,H
530,HERNIA,460,06.05.00.00,H
531,HERNIA,470,06.05.00.00,H
532,HERNIA,480,06.05.00.00,H
533,HERNIA,481,06.05.00.00,H
534,HERNIA,482,06.05.00.00,J
535,HERNIA,490,06.05.00.00,H
536,HERNIA,491,06.05.00.00,H
537,HERNIA,492,06.05.00.00,H
538,HERNIA,493,06.05.00.00,H
539,HERNIA,560,06.05.00.00,I
540,HERNIA,590,06.05.00.00,J
541,URINARY,110,07.01--07.04,F
542,URINARY,111,07.01--07.04,F
543,URINARY,112,07.01--07.04,F
544,URINARY,120,07.01--07.04,F
545,URINARY,210,07.01--07.04,F
546,URINARY,211,07.01--07.04,F
547,URINARY,212,07.01--07.04,F
548,URINARY,213,07.01--07.04,H
549,URINARY,214,07.01--07.04,F
550,URINARY,220,07.01--07.04,F
551,URINARY,221,07.01--07.04,F
552,URINARY,230,07.01--07.04,F
553,URINARY,240,07.01--07.04,G
554,URINARY,250,07.01--07.04,G
555,URINARY,251,07.01--07.04,G
556,URINARY,290,07.01--07.04,F
557,URINARY,310,07.01--07.04,F
558,URINARY,311,07.01--07.04,F
559,URINARY,320,07.01--07.04,F
560,URINARY,321,07.01--07.04,F
561,URINARY,322,07.01--07.04,F
562,URINARY,330,07.01--07.04,F
563,URINARY,331,07.01--07.04,F
564,URINARY,332,07.01--07.04,F
565,URINARY,340,07.01--07.04,F
566,URINARY,341,07.01--07.04,H
567,URINARY,350,07.01--07.04,G
568,URINARY,351,07.01--07.04,G
569,URINARY,360,07.01--07.04,F
570,URINARY,370,07.01--07.04,F
571,URINARY,380,07.01--07.04,H
572,URINARY,390,07.01--07.04,G
573,URINARY,420,07.01--07.04,F
574,URINARY,430,07.01--07.04,F
575,URINARY,460,07.01--07.04,F
576,URINARY,470,07.01--07.04,F
577,URINARY,480,07.01--07.04,H
578,URINARY,481,07.01--07.04,H
579,URINARY,482,07.01--07.04,H
580,URINARY,490,07.01--07.04,H
581,URINARY,491,07.01--07.04,H
582,URINARY,492,07.01--07.04,H
583,URINARY,493,07.01--07.04,H
584,URINARY,560,07.01--07.04,G
585,URINARY,590,07.01--07.04,H
586,REPRODUCTIVE,110,07.05.00.00,F
587,REPRODUCTIVE,111,07.05.00.00,F
588,REPRODUCTIVE,112,07.05.00.00,F
589,REPRODUCTIVE,120,07.05.00.00,F
590,REPRODUCTIVE,210,07.05.00.00,F
591,REPRODUCTIVE,211,07.05.00.00,F
592,REPRODUCTIVE,212,07.05.00.00,F
593,REPRODUCTIVE,213,07.05.00.00,F
594,REPRODUCTIVE,214,07.05.00.00,F
595,REPRODUCTIVE,220,07.05.00.00,F
596,REPRODUCTIVE,221,07.05.00.00,F
597,REPRODUCTIVE,230,07.05.00.00,F
598,REPRODUCTIVE,240,07.05.00.00,F
599,REPRODUCTIVE,250,07.05.00.00,F
600,REPRODUCTIVE,251,07.05.00.00,F
601,REPRODUCTIVE,290,07.05.00.00,F
602,REPRODUCTIVE,310,07.05.00.00,F
603,REPRODUCTIVE,311,07.05.00.00,F
604,REPRODUCTIVE,320,07.05.00.00,F
605,REPRODUCTIVE,321,07.05.00.00,F
606,REPRODUCTIVE,322,07.05.00.00,F
607,REPRODUCTIVE,330,07.05.00.00,F
608,REPRODUCTIVE,331,07.05.00.00,F
609,REPRODUCTIVE,332,07.05.00.00,F
610,REPRODUCTIVE,340,07.05.00.00,F
611,REPRODUCTIVE,341,07.05.00.00,F
612,REPRODUCTIVE,350,07.05.00.00,F
613,REPRODUCTIVE,351,07.05.00.00,F
614,REPRODUCTIVE,360,07.05.00.00,F
615,REPRODUCTIVE,370,07.05.00.00,F
616,REPRODUCTIVE,380,07.05.00.00,F
617,REPRODUCTIVE,390,07.05.00.00,F
618,REPRODUCTIVE,420,07.05.00.00,F
